"species","lon","lat"
"Pilostigma Thonigilii/Monkey Bread",29.3827179,-16.899711
"Pilostigma Thonigilii/Monkey Bread",29.3820521,-16.8993575
"Acacia Polycantha",29.6583991,-16.3983933
"Pilostigma Thonigilii/Monkey Bread",29.6754476,-16.3500298
"Kigelia Africana",29.6669013,-16.3959644
"Pilostigma Thonigilii/Monkey Bread",29.5918783,-16.43366
"Acacia Siebriana",29.5916883,-16.4337416
"Pilostigma Thonigilii/Monkey Bread",29.5914083,-16.43372
"Acacia Siebriana",29.59127,-16.4337133
"Acacia Siebriana",29.5911583,-16.4337166
"Pilostigma Thonigilii/Monkey Bread",29.5910167,-16.4337133
"Acacia Siebriana",29.5910383,-16.4337333
"Pilostigma Thonigilii/Monkey Bread",29.5924967,-16.4340566
"Acacia Siebriana",29.5934683,-16.434895
"Pilostigma Thonigilii/Monkey Bread",29.59354,-16.435055
"Acacia Polycantha",29.59357,-16.4355116
"Pilostigma Thonigilii/Monkey Bread",29.5937617,-16.43581
"Acacia Siebriana",29.5918517,-16.4452216
"Acacia Polycantha",29.590375,-16.4515
"Pilostigma Thonigilii/Monkey Bread",29.5901167,-16.4511316
"Acacia Siebriana",29.5913183,-16.4503866
"Acacia Polycantha",29.59187,-16.4500166
"Acacia Siebriana",29.5921283,-16.4498066
